marker	cell_name	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	pct.diff
CD2	Natural killer cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	T cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	T cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	B cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	B cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	T cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	T cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	T cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	T cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	T cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	T cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	T cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	T cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	Immune cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	Immune cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	Natural killer cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	Natural killer cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	Dendritic cell lineage	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	Dendritic cell lineage	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	AXL+ SIGLEC6+ dendritic cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	AXL+ SIGLEC6+ dendritic cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	T cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	T cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	Natural killer T(NKT) cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	Natural killer T(NKT) cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	CD1C+_A dendritic cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	CD1C+_A dendritic cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	T cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	T cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	Myeloid conventional dendritic cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	Myeloid conventional dendritic cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	T cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	T cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	Mast cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	Mast cell	0	0.574358384925608	0.415	0.054	0	7	0.361
