Tag	GSM257871	GSM257872	GSM257873	GSM257874
CYP11A1	3.15662960371214	4.29282591268578	2.95597112929522	6.28284935067877
CYP11B1	5.6399267127488	3.77204399167449	3.36069154997932	5.63396006284315
CYP11B2	4.68262947596719	4.35479064923107	5.51494597115893	4.41719766959296
CYP17A1	6.83104116793166	5.96828432752999	5.8937068242047	6.07250030047325
CYP19A1	6.07185703851051	6.52600306234851	4.09227510513309	3.41820614274775
CYP1A1	7.28834933305052	7.39833326697447	7.34711639229803	8.18634703334907
CYP1A2	7.23269912582901	6.01160968667219	6.03600652505245	7.22638329042834
CYP1B1	6.49280656291219	6.11094990802822	5.76792223343204	6.67144907096199
CYP20A1	6.69171560702623	7.44831457199121	7.32259518709059	7.86949514132618
CYP24A1	5.29649411670168	2.3920948183711	5.62525587529094	4.26615686364662
CYP26A1	6.2765338863945	6.19709085118894	2.86920812714467	3.98172481388809
CYP26B1	3.36954465368802	2.45034556497557	2.58584467941568	2.87041009594459
CYP27A1	7.03204572693081	5.09753916571356	3.53054523492493	5.80988257529834
CYP27B1	7.19722652404787	6.78736716144561	6.71055850298645	6.7995147655174
CYP2A13	4.95432661244153	4.6634755604874	3.50061087055262	2.61699044303041
CYP2A6	7.3754304703762	7.36391571653872	7.14984871416976	7.37733201538217
CYP2A7	6.58948486656332	5.47290362360683	4.85583525690746	5.62773522760633
CYP2B6	6.41910568088778	6.09398264682069	6.11573660176699	5.86678436977734
CYP2C18	5.64853734589263	5.05727263212873	5.75026883609653	6.08050844071558
CYP2C19	3.81485800155505	5.23672985906638	3.85916451443857	6.20945336562895
CYP2C8	5.96316890620168	4.03882244069019	4.92505471355115	4.45762712179055
CYP2C9	6.86709337083677	6.93846223596681	7.1055838001905	6.79799865563845
CYP2D6	5.14409124913767	4.99349322105842	6.62601999335044	5.02913038575735
CYP2E1	5.52091249294797	5.39023775670765	5.60745460212233	6.23261087551431
CYP2F1	5.95236152530499	5.65025619523338	3.69852965776823	3.99663279075588
CYP2J2	2.9702481106066	3.47017240353352	3.57730796893868	5.27403051330275
CYP2R1	6.73442511709683	6.28808166221375	6.47857873030684	7.32394645542167
CYP2U1	5.40099553014685	1.84204957772613	3.02574287585019	1.91646135752186
CYP2W1	4.05061487970295	5.00449240345279	6.97840158349824	4.37914959728796
CYP39A1	1.3523913084678	0.505425534722976	0.973661966396109	4.13509976297878
CYP3A4	7.63123527173154	6.22217664500514	7.65005366141898	7.48616730643715
CYP3A43	7.20269197213031	6.50728881558135	5.65182953191153	6.59413795601193
